Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Equip-Office & Household,888.18,1355
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Equip-Software-Over $1000,0,10000
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Food,421.9,1500
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Group Life Insurance Perm,27336.87,31590
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Membership Dues & Subscription,1650.98,7124
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Mileage,0,388
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Other Contractual Services,102047.07,154366
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Parking Validations,424,1250
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement,209285,209285
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement Expense (Vsrs Emp),162900.57,147454
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly,2005354.8,2364086
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly Overtime,0,858
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Social Security Fica Tax,161504.33,181107
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Special Pay & Allowances,5307.71,0
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Supplies-Office,2869.36,4340
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Supplies-Program,6112.86,6000
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Technology Equipment,1637.66,3264
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Telephone,6562.61,2000
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Temporary/Casual Employment,168237.5,9950
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Traveling Expense,1043,3014
2024,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Virginia Local Disability Program,9838.98,0
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",AFMS,10641.28,10730
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,28356,28356
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,350
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chemicals,5000,5000
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Coffins,9851.91,9272
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Computer Software-Under $1000,500,500
2024,Cemeteries,Cemetary Fund,Cemetery,Debt Service/Transfers to CIP,Debt Principal,32100.44,33091
2024,Cemeteries,Cemetary Fund,Cemetery,,Dependent Care FSA,0,0
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Electricity,15988.55,16330
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Employee Training Expense,280,400
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Employers Contrb Hospitalizatn,208675.4,223130
2024,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Bldg-Mech & Portable,26088.82,26256
2024,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Books-Over $1000,0,500
2024,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Office & Household,674,674
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Food,1150,1150
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Gas-Natural & Propane,1043.84,1001
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",634.95,700
2024,Cemeteries,Cemetary Fund,Cemetery,Debt Service/Transfers to CIP,Go Interest,14052.22,14746
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Group Life Insurance Perm,15462.95,17389
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Heating Fuel,617.66,2650
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Membership Dues & Subscription,398.42,560
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Mileage,1972,1972
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Other Contractual Services,66224.75,68222
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Peoplesoft,0,860
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Rent Of Equipment,1530,1750
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Buildings,3224,3224
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Office Equipment,3069.43,2750
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,6593.48,7359
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Streets & Sidewalks,1500,1500
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,102797,102797
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Water Distrib System,650,650
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement,99690,99690
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement Expense (Vsrs Emp),96911.92,77934
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Semi-Monthly/Monthly,1262053.1,1263408
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Semi-Monthly/Monthly Overtime,64131.93,29000
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Service Charge Credit Cards,25257.77,19514
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Small Tools,6806.18,7000
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Social Security Fica Tax,100910.89,102320
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Special Pay & Allowances,32460.81,3156
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Agricultural,10100,8676
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,1094.16,650
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,10285.77,6700
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,3425,500
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,441.2,500
2024,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Office,4515.16,3245
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone,3549.97,3100
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone Chargeback I.S.,4680,4680
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Temp Services-Admin/Clerical,26.54,32
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Temp Services-Laborer/Industrl,0,341
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Temporary/Casual Employment,0,0
2024,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Virginia Local Disability Program,6046.62,0
2024,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Water & Sewage Disposal,2735.37,5735
2024,Cemeteries,Gen Fixed Assets Group Of Acct,Cemetery,Contractual Services,Depr-System Account,7389.01,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Department Specific Appropriation,All Purpose Appropriations,78500,78500
2024,Circuit Court Judges,General Fund,Circuit Court Judges,,Dependent Care FSA,0,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Employee Training Expense,9371.99,4250
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Employers Contrb Hospitalizatn,74354.86,104310
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Equipment,Equip-Office & Household,495.37,2173
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Equipment,Equip-Software-Over $1000,0,164
2024,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Food,315.93,554
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Group Life Insurance Perm,4767.75,5973
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Parking Validations,1946,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Rent Of Equipment,1623.82,3000
2024,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,5542
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Retirement,4151.69,13456
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Retirement Expense (Vsrs Emp),46396.8,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Semi-Monthly/Monthly,358437.6,402068
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Semi-Monthly/Monthly Overtime,505.11,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Social Security Fica Tax,47213.03,34213
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Special Pay & Allowances,0,0
2024,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Supplies-Office,21627.96,26796
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Equipment,Technology Equipment,0,1800
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Telephone,399.75,5159
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Temporary/Casual Employment,272611.31,276691
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Traveling Expense,420,654
2024,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Virginia Local Disability Program,1933.8,0
2024,City Attorney,General Fund,City Attorney,Department Specific Appropriation,All Purpose Appropriations,37915.55,44712
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Books-Under $1000,53438.87,37600
2024,City Attorney,General Fund,City Attorney,Contractual Services,Car Pool Charges,0,200
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,4390.79,6000
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,117.8,5942
2024,City Attorney,General Fund,City Attorney,Contractual Services,Court Costs & Damage Claims,1170,10000
2024,City Attorney,General Fund,City Attorney,,Dependent Care FSA,10113.36,0
2024,City Attorney,General Fund,City Attorney,Personnel Services,Employers Contrb Hospitalizatn,402551.54,436974
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Food,33,500
2024,City Attorney,General Fund,City Attorney,Personnel Services,Group Life Insurance Perm,59129.48,54014
2024,City Attorney,General Fund,City Attorney,Contractual Services,Membership Dues & Subscription,16892,13600
2024,City Attorney,General Fund,City Attorney,Contractual Services,Mileage,290.88,3000
2024,City Attorney,General Fund,City Attorney,Contractual Services,Other Contractual Services,0,453249
2024,City Attorney,General Fund,City Attorney,Contractual Services,Parking Validations,233,2700
2024,City Attorney,General Fund,City Attorney,Contractual Services,Promotional Activities,0,500
2024,City Attorney,General Fund,City Attorney,Contractual Services,Rent Of Equipment,64210.74,51316
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Repairs-Office Equipment,334,1852
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,1844,1844
2024,City Attorney,General Fund,City Attorney,Personnel Services,Retirement,689202,689202
2024,City Attorney,General Fund,City Attorney,Personnel Services,Retirement Expense (Vsrs Emp),116629.68,0
2024,City Attorney,General Fund,City Attorney,Personnel Services,Semi-Monthly/Monthly,4475820.4,4042966
2024,City Attorney,General Fund,City Attorney,Personnel Services,Semi-Monthly/Monthly Overtime,383.16,0
2024,City Attorney,General Fund,City Attorney,Personnel Services,Social Security Fica Tax,317952.65,295962
2024,City Attorney,General Fund,City Attorney,Personnel Services,Special Pay & Allowances,9999.86,34000
2024,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Supplies-Office,18447.34,15999
2024,City Attorney,General Fund,City Attorney,Contractual Services,Telephone,5404.7,1800
2024,City Attorney,General Fund,City Attorney,Personnel Services,Temporary/Casual Employment,0,0
2024,City Attorney,General Fund,City Attorney,Contractual Services,Traveling Expense,26482.06,10000
2024,City Attorney,General Fund,City Attorney,Personnel Services,Virginia Local Disability Program,6043.15,0
2024,City Auditor,General Fund,City Auditor,Contractual Services,Automobile Allowances,0,10000
2024,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Books-Under $1000,0,1050
2024,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,500
2024,City Auditor,General Fund,City Auditor,,Dependent Care FSA,0,0
2024,City Auditor,General Fund,City Auditor,Contractual Services,Employee Training Expense,23873.42,20000
2024,City Auditor,General Fund,City Auditor,Personnel Services,Employers Contrb Hospitalizatn,84238.56,103229
2024,City Auditor,General Fund,City Auditor,Equipment,Equip-Office & Household,152.33,1000
2024,City Auditor,General Fund,City Auditor,Equipment,Equip-Software-Over $1000,0,1616
2024,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Food,800,0
2024,City Auditor,General Fund,City Auditor,Personnel Services,Group Life Insurance Perm,10379.61,11378
2024,City Auditor,General Fund,City Auditor,Contractual Services,Membership Dues & Subscription,7135.13,7350
2024,City Auditor,General Fund,City Auditor,Contractual Services,Mileage,373.86,227
2024,City Auditor,General Fund,City Auditor,Contractual Services,Other Contractual Services,0,6250
2024,City Auditor,General Fund,City Auditor,Contractual Services,Parking Validations,9,138
2024,City Auditor,General Fund,City Auditor,Personnel Services,Retirement,117238,117238
2024,City Auditor,General Fund,City Auditor,Personnel Services,Retirement Expense (Vsrs Emp),26248.08,0
2024,City Auditor,General Fund,City Auditor,Personnel Services,Semi-Monthly/Monthly,804331.06,849118
2024,City Auditor,General Fund,City Auditor,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2024,City Auditor,General Fund,City Auditor,Personnel Services,Social Security Fica Tax,59715.53,64958
2024,City Auditor,General Fund,City Auditor,Personnel Services,Special Pay & Allowances,10000.12,0
2024,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Supplies-Office,3296.13,800
2024,City Auditor,General Fund,City Auditor,Contractual Services,Telephone,5723.6,4000
2024,City Auditor,General Fund,City Auditor,Personnel Services,Temporary/Casual Employment,0,1040
2024,City Auditor,General Fund,City Auditor,Contractual Services,Traveling Expense,18846.08,15000
2024,City Auditor,General Fund,City Auditor,Personnel Services,Virginia Local Disability Program,1737.6,0
2024,City Clerk,General Fund,City Clerk,Contractual Services,Advertising,42349.9,70000
2024,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,5500
2024,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,12835.79,12500
2024,City Clerk,General Fund,City Clerk,,Dependent Care FSA,384.6,0
2024,City Clerk,General Fund,City Clerk,Contractual Services,Employee Training Expense,180,5000
2024,City Clerk,General Fund,City Clerk,Personnel Services,Employers Contrb Hospitalizatn,78781,98638
2024,City Clerk,General Fund,City Clerk,Equipment,Equip-Books-Over $1000,13202.13,21000
2024,City Clerk,General Fund,City Clerk,Equipment,Equip-Office & Household,23.19,1000
2024,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Food,16322.97,28090
2024,City Clerk,General Fund,City Clerk,Personnel Services,Group Life Insurance Perm,10607.36,10970
2024,City Clerk,General Fund,City Clerk,Contractual Services,Membership Dues & Subscription,3663.91,700
2024,City Clerk,General Fund,City Clerk,Contractual Services,Other Contractual Services,792,5000
2024,City Clerk,General Fund,City Clerk,Contractual Services,Parking Validations,1548.5,5000
2024,City Clerk,General Fund,City Clerk,Contractual Services,Promotional Activities,203670.61,222826
2024,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,4919,4919
2024,City Clerk,General Fund,City Clerk,Personnel Services,Retirement,87076,87076
2024,City Clerk,General Fund,City Clerk,Personnel Services,Retirement Expense (Vsrs Emp),52335.8,0
2024,City Clerk,General Fund,City Clerk,Personnel Services,Semi-Monthly/Monthly,812842.14,805474
2024,City Clerk,General Fund,City Clerk,Personnel Services,Semi-Monthly/Monthly Overtime,379.98,0
2024,City Clerk,General Fund,City Clerk,Personnel Services,Social Security Fica Tax,61497.93,73056
2024,City Clerk,General Fund,City Clerk,Personnel Services,Special Pay & Allowances,10000.12,0
2024,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Supplies-Office,8383.55,13000
2024,City Clerk,General Fund,City Clerk,Contractual Services,Telephone,6590.58,10000
2024,City Clerk,General Fund,City Clerk,Personnel Services,Temporary/Casual Employment,0,101148
2024,City Clerk,General Fund,City Clerk,Contractual Services,Traveling Expense,610.62,4000
2024,City Clerk,General Fund,City Clerk,Personnel Services,Virginia Local Disability Program,2130.48,0
2024,City Clerk,General Fund,Records Management,,Dependent Care FSA,0,0
2024,City Clerk,General Fund,Records Management,Personnel Services,Employers Contrb Hospitalizatn,16703.38,26358
2024,City Clerk,General Fund,Records Management,Personnel Services,Group Life Insurance Perm,1942.88,2229
2024,City Clerk,General Fund,Records Management,Contractual Services,Membership Dues & Subscription,0,250
2024,City Clerk,General Fund,Records Management,Contractual Services,Other Contractual Services,74888.2,96000
2024,City Clerk,General Fund,Records Management,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,875
2024,City Clerk,General Fund,Records Management,Personnel Services,Retirement,36181,36181
2024,City Clerk,General Fund,Records Management,Personnel Services,Retirement Expense (Vsrs Emp),3560.96,0
2024,City Clerk,General Fund,Records Management,Personnel Services,Semi-Monthly/Monthly,173792.39,166371
2024,City Clerk,General Fund,Records Management,Personnel Services,Semi-Monthly/Monthly Overtime,60,0
2024,City Clerk,General Fund,Records Management,Personnel Services,Social Security Fica Tax,13289.6,12728
2024,City Clerk,General Fund,Records Management,Personnel Services,Special Pay & Allowances,0,0
2024,City Clerk,General Fund,Records Management,"Materials, Supplies, and Repairs",Supplies-Office,510.43,6851
2024,City Clerk,General Fund,Records Management,Personnel Services,Temporary/Casual Employment,0,0
2024,City Clerk,General Fund,Records Management,Personnel Services,Virginia Local Disability Program,235.76,0
2024,City Council,Gen Fixed Assets Group Of Acct,City Council,Contractual Services,Depr-System Account,1011.49,0
2024,City Council,General Fund,City Council,,Dependent Care FSA,0,0
2024,City Council,General Fund,City Council,Personnel Services,Employers Contrb Hospitalizatn,74717.9,78981
2024,City Council,General Fund,City Council,Contractual Services,Membership Dues & Subscription,41286,19013
2024,City Council,General Fund,City Council,Personnel Services,Retirement,37099,37099
2024,City Council,General Fund,City Council,Personnel Services,Retirement Expense (Vsrs Emp),0,0
2024,City Council,General Fund,City Council,Personnel Services,Semi-Monthly/Monthly,202000.24,202000
2024,City Council,General Fund,City Council,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2024,City Council,General Fund,City Council,Personnel Services,Social Security Fica Tax,13450.61,15457
2024,City Council,General Fund,City Council,Personnel Services,Special Pay & Allowances,0,0
2024,City Council,General Fund,City Council,Contractual Services,Telephone,2442.5,4000
2024,City Council,General Fund,City Council,Personnel Services,Temporary/Casual Employment,0,0
2024,City Council,General Fund,City Council,Contractual Services,Traveling Expense,12883.24,39057
2024,City Manager,Gen Fixed Assets Group Of Acct,City Manager,Contractual Services,Depr-System Account,556350.87,0
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,1500
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,1870.3,3975
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Computer Software-Under $1000,564.42,1500
2024,City Manager,General Fund,City Manager,,Dependent Care FSA,1250,0
2024,City Manager,General Fund,City Manager,Personnel Services,Employers Contrb Hospitalizatn,112464.48,114722
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Food,2773.32,6600
2024,City Manager,General Fund,City Manager,Personnel Services,Group Life Insurance Perm,26232.67,30752
2024,City Manager,General Fund,City Manager,Contractual Services,Membership Dues & Subscription,16735.19,8677
2024,City Manager,General Fund,City Manager,Contractual Services,Other Contractual Services,396347.54,932000
2024,City Manager,General Fund,City Manager,Contractual Services,Parking Validations,6538,1000
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,500
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,616,616
2024,City Manager,General Fund,City Manager,Personnel Services,Retirement,257641,257641
2024,City Manager,General Fund,City Manager,Personnel Services,Retirement Expense (Vsrs Emp),91552.92,71343
2024,City Manager,General Fund,City Manager,Personnel Services,Semi-Monthly/Monthly,2247974.08,2473807
2024,City Manager,General Fund,City Manager,Personnel Services,Semi-Monthly/Monthly Overtime,0,1500
2024,City Manager,General Fund,City Manager,Personnel Services,Social Security Fica Tax,158078.16,151943
2024,City Manager,General Fund,City Manager,Personnel Services,Special Pay & Allowances,99245.43,37613
2024,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Supplies-Office,6521.16,9600
2024,City Manager,General Fund,City Manager,Contractual Services,Telephone,13338.42,9320
2024,City Manager,General Fund,City Manager,Personnel Services,Temporary/Casual Employment,148446.89,23398
2024,City Manager,General Fund,City Manager,Contractual Services,Traveling Expense,22333.31,25203
2024,City Manager,General Fund,City Manager,Personnel Services,Virginia Local Disability Program,339.12,0
2024,City Manager,General Fund,Financial Reporting,Department Specific Appropriation,All Purpose Appropriations,1228.75,0
2024,City Manager,General Fund,Norfolk Arts,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,1883
2024,City Manager,General Fund,Norfolk Arts,,Dependent Care FSA,276.9,0
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Employers Contrb Hospitalizatn,28481.62,42117
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Group Life Insurance Perm,3245.75,3246
2024,City Manager,General Fund,Norfolk Arts,Contractual Services,Other Contractual Services,49618.08,50041
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Retirement,48349,48349
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Retirement Expense (Vsrs Emp),0,0
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Semi-Monthly/Monthly,242208.72,242209
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Social Security Fica Tax,17983.99,18953
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Special Pay & Allowances,0,0
2024,City Manager,General Fund,Norfolk Arts,"Materials, Supplies, and Repairs",Supplies-Office,671.88,2232
2024,City Manager,General Fund,Norfolk Arts,Contractual Services,Telephone,3184.54,4000
2024,City Manager,General Fund,Norfolk Arts,Personnel Services,Temporary/Casual Employment,592.58,0
2024,City Real Estate Assessor,Gen Fixed Assets Group Of Acct,City Real Estate Assessor,Contractual Services,Depr-System Account,4433.26,0
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Advertising,552.53,1500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,2500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,85.16,1535
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Consulting Services,0,25000
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,,Dependent Care FSA,1346.14,0
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Employee Training Expense,19629.81,12400
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Employers Contrb Hospitalizatn,184827,175094
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Equipment,Equip-New Automotive,51390,60000
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Equipment,Equip-Office & Household,9280.08,12889
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Food,67.49,100
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Group Life Insurance Perm,22845.65,25583
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Membership Dues & Subscription,16933.63,12500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Mileage,0,500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Other Contractual Services,198180.65,234908
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Parking Validations,644,800
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Postage - Commercial,42217.1,35000
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,1000
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,9222,9222
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Retirement,188074,188074
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Retirement Expense (Vsrs Emp),98526,0
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Semi-Monthly/Monthly,1751671.49,1848978
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Semi-Monthly/Monthly Overtime,114.48,0
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Social Security Fica Tax,132057.24,142415
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Special Pay & Allowances,10000.12,0
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Supplies-Office,7857.28,3500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Telephone,21064.49,25700
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Temporary/Casual Employment,21340,2387
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Traveling Expense,5714.07,10500
2024,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Virginia Local Disability Program,5332.51,0
2024,City Real Estate Assessor,General Fund,Real Estate Board Of Appeals,Contractual Services,Other Contractual Services,2050,3150
2024,City Treasurer,General Fund,City Treasurer,Contractual Services,Advertising,2910,6500
2024,City Treasurer,General Fund,City Treasurer,Department Specific Appropriation,Bank Fees,77238.37,90000
2024,City Treasurer,General Fund,City Treasurer,Contractual Services,Billing & Deliquent Notice Svc,268891.31,308600
2024,City Treasurer,General Fund,City Treasurer,"Materials, Supplies, and Repairs",Books-Under $1000,488.26,500
2024,City Treasurer,General Fund,City Treasurer,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,23380.46,48000
